Legacy URL,New URL,GSC clicks,GSC impressions,Backlinks,Priority,Owner,Status,QA result,Notes
https://sciencedivine.org/blog/mantras-that-cleanse-negative-energy,https://sciencedivine.org/blog/mantras-that-cleanse-negative-energy,300,20724,UNVERIFIED,P0,SEO + content + engineering,OPEN,NOT TESTED,Top organic protection cohort from GSC 20 May-17 Aug 2026; preserve exact path/content/metadata/schema
https://sciencedivine.org/blog/hanuman-ji-blessings-signs,https://sciencedivine.org/blog/hanuman-ji-blessings-signs,252,22053,UNVERIFIED,P0,SEO + content + engineering,OPEN,NOT TESTED,Top organic protection cohort from GSC 20 May-17 Aug 2026; preserve exact path/content/metadata/schema
https://sciencedivine.org/blog/bhagavad-gita-shlokas-for-students-exam-stress,https://sciencedivine.org/blog/bhagavad-gita-shlokas-for-students-exam-stress,189,5475,UNVERIFIED,P0,SEO + content + engineering,OPEN,NOT TESTED,Top organic protection cohort from GSC 20 May-17 Aug 2026; preserve exact path/content/metadata/schema
https://sciencedivine.org/blog/15-clear-signs-your-aura-is-weak-and-powerful-ways-to-strengthen-it,https://sciencedivine.org/blog/15-clear-signs-your-aura-is-weak-and-powerful-ways-to-strengthen-it,169,6404,UNVERIFIED,P0,SEO + content + engineering,OPEN,NOT TESTED,Top organic protection cohort from GSC 20 May-17 Aug 2026; preserve exact path/content/metadata/schema
https://sciencedivine.org/,https://sciencedivine.org/,163,2044,UNVERIFIED,P0,SEO + content + engineering,OPEN,NOT TESTED,Homepage from GSC protection cohort; preserve content/metadata/schema and apex self-canonical
https://sciencedivine.org/about-sakshi-shree/,https://sciencedivine.org/about-sakshi-shree/,141,2004,UNVERIFIED,P0,SEO + content + engineering,OPEN,NOT TESTED,Top organic protection cohort from GSC 20 May-17 Aug 2026; preserve exact path/content/metadata/schema
https://sciencedivine.org/blog/best-brahma-muhurta-mantras,https://sciencedivine.org/blog/best-brahma-muhurta-mantras,135,5624,UNVERIFIED,P0,SEO + content + engineering,OPEN,NOT TESTED,Top organic protection cohort from GSC 20 May-17 Aug 2026; preserve exact path/content/metadata/schema
https://sciencedivine.org/blog,https://sciencedivine.org/blog,84,239,UNVERIFIED,P0,SEO + content + engineering,OPEN,NOT TESTED,Blog index from GSC protection cohort; preserve listing/indexability and internal links
https://sciencedivine.org/blog/how-to-practice-sakshi-bhav-daily-life,https://sciencedivine.org/blog/how-to-practice-sakshi-bhav-daily-life,76,3624,UNVERIFIED,P0,SEO + content + engineering,OPEN,NOT TESTED,Top organic protection cohort from GSC 20 May-17 Aug 2026; preserve exact path/content/metadata/schema
https://sciencedivine.org/blog/happy-sawan-wishes-family-friends-loved-ones,https://sciencedivine.org/blog/happy-sawan-wishes-family-friends-loved-ones,60,3911,UNVERIFIED,P0,SEO + content + engineering,OPEN,NOT TESTED,Top organic protection cohort from GSC 20 May-17 Aug 2026; preserve exact path/content/metadata/schema
https://sciencedivine.org/blog/15-spiritual-signs-universe-guiding-you-toward-your-destiny,https://sciencedivine.org/blog/15-spiritual-signs-universe-guiding-you-toward-your-destiny,59,4845,UNVERIFIED,P0,SEO + content + engineering,OPEN,NOT TESTED,Top organic protection cohort from GSC 20 May-17 Aug 2026; preserve exact path/content/metadata/schema
https://sciencedivine.org/blog/21-effective-ways-to-remove-negative-energy-from-your-home-spiritually,https://sciencedivine.org/blog/21-effective-ways-to-remove-negative-energy-from-your-home-spiritually,54,8429,UNVERIFIED,P0,SEO + content + engineering,OPEN,NOT TESTED,Top organic protection cohort from GSC 20 May-17 Aug 2026; preserve exact path/content/metadata/schema
https://sciencedivine.org/blog/twin-flames-vs-soulmates-difference,https://sciencedivine.org/blog/twin-flames-vs-soulmates-difference,47,8288,UNVERIFIED,P0,SEO + content + engineering,OPEN,NOT TESTED,Top organic protection cohort from GSC 20 May-17 Aug 2026; preserve exact path/content/metadata/schema
https://sciencedivine.org/blog/angel-numbers-signs-or-coincidence,https://sciencedivine.org/blog/angel-numbers-signs-or-coincidence,43,28031,UNVERIFIED,P0,SEO + content + engineering,OPEN,NOT TESTED,Top organic protection cohort from GSC 20 May-17 Aug 2026; preserve exact path/content/metadata/schema
https://sciencedivine.org/blog/369-manifestation-method-daily-guide,https://sciencedivine.org/blog/369-manifestation-method-daily-guide,39,5911,UNVERIFIED,P0,SEO + content + engineering,OPEN,NOT TESTED,Top organic protection cohort from GSC 20 May-17 Aug 2026; preserve exact path/content/metadata/schema
