Legacy URL,Legacy public evidence,New app route evidence,Active Google Ads,Active Meta Ads,Required action,Priority,Owner,Status,QA result
https://sciencedivine.org/personal-session/,Published and indexable in WordPress REST API,Route exists but trailing slash returns 307 and canonical is relative,UNVERIFIED,UNVERIFIED,Verify campaigns then preserve exact path and conversion flow,P1,Paid media + engineering,OPEN,FAIL
https://sciencedivine.org/donation/,Published and indexable in WordPress REST API,Missing; 307 slash normalization then 404,UNVERIFIED,UNVERIFIED,Verify campaigns and implement exact 200 equivalent before launch,P0,Paid media + engineering,OPEN,FAIL
https://sciencedivine.org/event-new/,Published and indexable in WordPress REST API,Route exists; full conversion test pending,UNVERIFIED,UNVERIFIED,Verify campaigns/forms/events and metadata parity,P1,Paid media + engineering,OPEN,NOT TESTED
https://sciencedivine.org/session/,Published and indexable in WordPress REST API,Missing,UNVERIFIED,UNVERIFIED,Verify usage and preserve or map one-to-one based on intent,P1,Paid media + SEO,OPEN,FAIL
https://sciencedivine.org/sanjeevni-kriya/,Published and indexable in WordPress REST API,Route exists; exact parity pending,UNVERIFIED,UNVERIFIED,Verify campaigns and full conversion/content parity,P1,Paid media + engineering,OPEN,NOT TESTED
https://sciencedivine.org/the-science-of-joyful-living-landing-page/,Published and indexable in WordPress REST API,Missing,UNVERIFIED,UNVERIFIED,Verify campaigns and implement exact path or relevant one-hop map,P1,Paid media + SEO,OPEN,FAIL
https://sciencedivine.org/mind-power-meditation-landing-page/,Published and indexable in WordPress REST API,Missing,UNVERIFIED,UNVERIFIED,Verify campaigns and implement exact path or relevant one-hop map,P1,Paid media + SEO,OPEN,FAIL
https://sciencedivine.org/sanjeevi-kriya-landing-page/,Published and indexable in WordPress REST API,Missing,UNVERIFIED,UNVERIFIED,Verify campaigns and implement exact path or relevant one-hop map,P1,Paid media + SEO,OPEN,FAIL
https://sciencedivine.org/science-of-joyful-living-march/,Published and indexable in WordPress REST API,Route exists; full conversion test pending,UNVERIFIED,UNVERIFIED,Verify campaigns/forms/events and metadata parity,P1,Paid media + engineering,OPEN,NOT TESTED
https://sciencedivine.org/mind-power-meditation/,Published and indexable in WordPress REST API,Route exists; full conversion test pending,UNVERIFIED,UNVERIFIED,Verify campaigns/forms/events and metadata parity,P1,Paid media + engineering,OPEN,NOT TESTED
https://sciencedivine.org/courses/,Published and indexable in WordPress REST API,Route exists; full conversion test pending,UNVERIFIED,UNVERIFIED,Verify campaigns/forms/events and metadata parity,P1,Paid media + engineering,OPEN,NOT TESTED
https://sciencedivine.org/product/science-divine-diamond-diary/,Published product with self-canonical in WordPress REST API,Missing,UNVERIFIED,UNVERIFIED,Preserve product URL/content/schema/cart/payment or approved relevant mapping,P0,Commerce + engineering,OPEN,FAIL
https://us.sciencedivine.org/,Public 200; CNAME to sites.ludicrous.cloud,Outside app scope and ownership unverified,UNVERIFIED,UNVERIFIED,Confirm business owner and preserve DNS/content/tracking,P1,Domain + paid media owner,OPEN,NOT TESTED

